,Element Number,Section Number,Midpoint X,Midpoint Y,Midpoint Z,Relative Chord,Chordlength,Relative Radius,Element height,Element offset,Element area,Cp_suc,Cp_pres,Circular velocity,Pressure by Lift,Cl,Cd,Cf,Cf*dx,Viscous Drag,Total Drag,alpha
16,16,7,-10.271,174.581,1.923,0.023,58.101,0.4237,3.032,-0.253,21.794,-0.853,0.281,73128.503,0.0037182436300337335,0.941,0.00945,0.020456500000000002,0.0009144618758303275,6.533273689957018e-05,0.0006751450005943076,2.9339999999999997
17,17,7,-10.133,182.67,1.933,0.023,57.324,0.4434,2.991,-0.249,21.514,-0.759,0.212,76516.807,0.0034824391456896946,0.9055,0.008799999999999999,0.020763749999999997,0.000929632126346848,7.178120148799869e-05,0.0006794887517244742,2.5839999999999996
18,18,8,-9.995,190.76,1.943,0.023,56.551,0.463,2.951,-0.246,21.231,-0.759,0.212,79905.155,0.003797689510504812,0.9055,0.008799999999999999,0.02076375,0.0009308446163430324,7.73489479188857e-05,0.0007312399188172939,2.5839999999999996
19,19,8,-9.858,198.849,1.953,0.023,55.78,0.4826,2.91,-0.242,20.951,-0.759,0.212,83293.483,0.004126595571320154,0.9055,0.008799999999999999,0.020763749999999997,0.0009321721476300751,8.30572827768834e-05,0.0007840870275890576,2.5839999999999996
20,20,8,-9.72,206.938,1.962,0.023,55.006,0.5023,2.87,-0.239,20.675,-0.683,0.151,86681.871,0.0038409168472095263,0.876,0.0085,0.020962,0.0009427006361576302,8.977205103754419e-05,0.0008094430029551112,2.294
21,21,9,-9.583,215.027,1.969,0.023,54.231,0.5219,2.83,-0.236,20.394,-0.683,0.151,90070.25,0.004147067382319724,0.876,0.0085,0.020962,0.0009440965081003263,9.575038803143635e-05,0.0008620710820177301,2.294
22,22,9,-9.445,223.116,1.977,0.023,53.458,0.5415,2.789,-0.232,20.112,-0.62,0.099,93458.636,0.0038467136423012117,0.851,0.00835,0.021087500000000002,0.0009511230821089698,0.0001024219263147452,0.0008991718325579865,2.05
23,23,10,-9.308,231.205,1.985,0.023,52.686,0.5612,2.749,-0.229,19.832,-0.62,0.099,96847.018,0.004130698362551036,0.851,0.00835,0.021087500000000002,0.0009525577591004681,0.00010861526326082735,0.0009521075646734111,2.05
24,24,10,-9.171,239.294,1.991,0.023,51.912,0.5808,2.709,-0.226,19.555,-0.587,0.07,100235.429,0.004050229653288293,0.8314999999999999,0.0083,0.0211415,0.0009566842523941417,0.00011521965080161005,0.0009996224974542288,1.98
25,25,11,-9.033,247.384,1.996,0.023,51.138,0.6004,2.668,-0.222,19.273,-0.587,0.07,103623.84,0.004328690195180963,0.8314999999999999,0.0083,0.0211415,0.0009581512343450363,0.00012155339345438215,0.0010529581651700542,1.98
26,26,11,-8.896,255.473,2.002,0.023,50.365,0.6201,2.628,-0.219,18.992,-0.548,0.036,107012.253,0.004102116294103436,0.8165,0.0083,0.021194249999999998,0.0009620501707799108,0.00012826284819811586,0.0011065760106682698,1.818
27,27,12,-8.759,263.562,2.007,0.023,49.592,0.6397,2.588,-0.216,18.714,-0.548,0.036,110400.685,0.004366007667560742,0.8165,0.0083,0.021194249999999998,0.0009636853609669005,0.00013474018662809625,0.001160486185959206,1.818
28,28,12,-8.622,271.651,2.011,0.023,48.818,0.6593,2.547,-0.212,18.434,-0.522,0.012,113789.102,0.004241367610998185,0.806,0.0083,0.021221749999999998,0.0009665918926494283,0.00014142320365080255,0.001214382821983165,1.7109999999999999
29,29,12,-8.485,279.741,2.014,0.023,48.044,0.679,2.507,-0.209,18.152,-0.522,0.012,117177.533,0.004497728876153158,0.806,0.0083,0.021221749999999998,0.0009681416770757622,0.0001479152067904357,0.0012680956159937555,1.7109999999999999
30,30,13,-8.347,287.83,2.018,0.023,47.271,0.6986,2.466,-0.205,17.871,-0.506,-0.003,120565.958,0.004487608887354976,0.7995000000000001,0.00825,0.02123525,0.0009703634981087958,0.00015452265893465438,0.0013137467956033614,1.645
31,31,13,-8.21,295.919,2.021,0.023,46.498,0.7183,2.426,-0.202,17.592,-0.506,-0.003,123954.409,0.00474339791263142,0.7995000000000001,0.00825,0.02123525,0.0009720915072316519,0.0001610636882205217,0.0013669242226006337,1.645
32,32,14,-8.073,304.009,2.023,0.023,45.724,0.7379,2.386,-0.199,17.309,-0.498,-0.011,127342.841,0.004839671320764926,0.796,0.0082,0.021242000000000004,0.000974001858463384,0.00016758958961568928,0.0014109158241409191,1.609
33,33,14,-7.936,312.098,2.024,0.023,44.95,0.7575,2.345,-0.195,17.027,-0.498,-0.011,130731.279,0.0051006534386825505,0.796,0.0082,0.021242000000000004,0.0009756096781123268,0.00017403068552263444,0.00146272802874071,1.609
34,34,15,-7.799,320.187,2.026,0.023,44.177,0.7772,2.305,-0.192,16.745,-0.495,-0.013,134119.707,0.0053153669160960065,0.795,0.0082,0.02124375,0.0009773698111105271,0.000180463900754919,0.0015140676224784588,0.0
35,35,15,-7.662,328.277,2.027,0.023,43.403,0.7968,2.265,-0.189,16.464,-0.495,-0.013,137508.158,0.005587338538966543,0.795,0.008150000000000001,0.02124375,0.0009791124201141872,0.0001868430375857219,0.001555256296458831,0.0
36,36,15,-7.525,336.366,2.027,0.023,42.629,0.8164,2.224,-0.185,16.18,-0.495,-0.013,140896.602,0.005866095082348765,0.795,0.008150000000000001,0.02124375,0.0009807047602557392,0.00019309245814225028,0.0016046659480361488,0.0
37,37,16,-7.388,344.455,2.027,0.023,41.855,0.8361,2.184,-0.182,15.895,-0.493,-0.015,144285.047,0.0060908921772185,0.794,0.0081,0.021245,0.000982380858078274,0.00019927606796384982,0.0016430859144229912,1.588
38,38,16,-7.251,352.544,2.028,0.023,41.082,0.8557,2.144,-0.179,15.611,-0.478,-0.029,147673.493,0.0059971736182631305,0.7879999999999999,0.008150000000000001,0.021254,0.0009844087303168619,0.00020543281382719364,0.00170079498599399,1.527
39,39,17,-7.114,360.634,2.029,0.023,40.309,0.8753,2.103,-0.175,15.326,-0.478,-0.029,151061.945,0.006275548245084361,0.7879999999999999,0.008150000000000001,0.021254,0.000986000784961109,0.00021138258260687556,0.0017472278668763813,1.527
40,40,17,-6.978,368.723,2.03,0.023,39.536,0.895,2.063,-0.172,15.04,-0.445,-0.061,154450.392,0.005626700716985414,0.7745,0.0083,0.021266,0.000988113838617077,0.00021731280335929277,0.0018253931858767491,1.391
41,41,18,-6.843,376.813,2.031,0.023,38.764,0.9146,2.023,-0.169,14.754,-0.396,-0.11,157838.857,0.0043582854187302475,0.7535,0.0086,0.0212625,0.0009895465655012422,0.00022297059706417259,0.0019378038402675627,1.18
42,42,18,-6.709,384.902,2.03,0.023,37.993,0.9342,1.982,-0.165,14.473,-0.328,-0.18,161227.334,0.002349458988782589,0.724,0.0092,0.021213499999999996,0.0009891333102737979,0.00022811291434550284,0.0021216946089882573,0.89
43,43,18,-5.674,392.835,2.031,0.024,36.152,0.9535,1.886,-0.157,13.288,-0.241,-0.277,164550.474,-0.0006032584661011742,0.6845000000000001,0.0102,0.02107125,0.0009947826795081575,0.00021940360030142593,0.0022496538884060786,0.506
44,44,19,-3.154,400.503,2.031,0.023,32.494,0.9721,1.695,-0.141,11.869,0.001,-0.583,167762.301,-0.010077119973812514,0.5665,0.01465,0.0200855,0.0009524912212976436,0.00019503210500981924,0.002999734039019558,-0.627
45,45,19,-0.625,408.168,2.026,0.023,28.832,0.9907,1.504,-0.125,10.508,0.159,-0.821,170972.948,-0.01757577757473462,0.481,0.01935,0.01878775,0.0008920761025370849,0.00016797692553409445,0.003643583209818811,-1.4459999999999997
46,46,0,-4.519,53.933,0.218,0.072,34.939,0.1309,8.226,-0.089,14.151,-1.25,0.152,22591.53,0.0004384077737407818,0.9620000000000001,0.018000000000000002,0.0111185,0.0005695154599156748,2.5213319733535466e-06,7.968875072694887e-05,3.1450000000000005
47,47,1,-5.441,61.807,0.593,0.069,41.064,0.15,8.412,-0.286,16.242,-1.225,0.148,25889.549,0.0005637752707385245,0.9620000000000001,0.018000000000000002,0.012157166666666667,0.0006021433278364235,4.018250444360344e-06,0.00012011842472517567,3.145
48,48,1,-6.352,69.687,0.905,0.067,47.413,0.1691,8.045,-0.503,18.392,-1.422,0.256,29190.366,0.0008765837092358702,1.056,0.017550000000000003,0.012140416666666667,0.0005846806025809972,5.616667464195046e-06,0.00016859207157119186,4.131
49,49,2,-7.248,77.572,1.166,0.066,53.905,0.1883,7.082,-0.689,20.611,-1.422,0.256,32493.124,0.0010861686445431751,1.056,0.017550000000000003,0.012140416666666667,0.000571810161385999,7.62759974231615e-06,0.0002341063249963542,4.131
50,50,2,-8.135,85.459,1.388,0.065,60.495,0.2074,6.197,-0.817,22.889,-1.48,0.287,35796.803,0.0013875906496582783,1.08,0.01585,0.012088833333333333,0.0005593513243210622,1.0056887096156943e-05,0.00028497592397330686,4.449
51,51,2,-8.712,93.367,1.551,0.067,65.88,0.2266,5.632,-0.89,25.634,-1.48,0.287,39109.635,0.0016563053843439393,1.08,0.01585,0.012088833333333333,0.0005653803658332101,1.3588807323195291e-05,0.0003809516726942447,4.449
52,52,3,-8.364,101.386,1.614,0.07,65.097,0.2461,5.565,-0.879,27.157,-1.495,0.281,42468.423,0.0019637483553403114,1.08,0.01585,0.0110665,0.0005442065798079921,1.6339698453098107e-05,0.00047589321792650916,4.449
53,53,3,-8.265,109.485,1.674,0.07,64.312,0.2657,5.498,-0.869,26.954,-1.439,0.265,45861.085,0.002197363769088645,1.0635,0.01375,0.01212775,0.0005974731265635339,2.0762969155706173e-05,0.0004778304047464157,4.221
54,54,4,-8.161,117.583,1.716,0.07,63.53,0.2854,5.431,-0.858,26.623,-1.456,0.261,49253.231,0.0025535580908435775,1.0635,0.01375,0.011101499999999999,0.0005476181028478976,2.1680143678046724e-05,0.0005443610684578502,4.221
55,55,4,-8.055,125.681,1.749,0.07,62.755,0.305,5.365,-1.03,26.303,-1.384,0.224,52644.956,0.002731598338905012,1.0295,0.01205,0.011137999999999999,0.0005501747431244526,2.4585176244848383e-05,0.0005384677821959,3.8360000000000003
56,56,5,-7.949,133.777,1.781,0.07,61.989,0.3247,5.3,-1.018,25.989,-1.384,0.224,56036.328,0.0030948716866256434,1.0295,0.01205,0.011137999999999999,0.0005509047278582602,2.7558823211406373e-05,0.000602797185982559,3.8360000000000003
57,57,5,-7.844,141.873,1.818,0.07,61.23,0.3444,5.235,-1.005,25.682,-1.384,0.224,59427.717,0.003480818606925718,1.0295,0.01205,0.011137999999999999,0.0005516170357142351,3.0669644303216296e-05,0.000669974257367228,3.8360000000000003
58,58,5,-7.739,149.97,1.85,0.07,60.45,0.364,5.168,-0.993,25.371,-1.295,0.176,62819.254,0.0035589643577235647,0.9850000000000001,0.0106,0.0111375,0.0005525409772105695,3.3912024317983035e-05,0.0006505715821934952,3.378
59,59,6,-7.638,158.067,1.888,0.07,59.674,0.3837,5.102,-0.98,25.049,-1.295,0.176,66210.897,0.0039536392759875714,0.9850000000000001,0.0106,0.0111375,0.000553099849367575,3.723152726269429e-05,0.0007135315430583007,3.3779999999999997
60,60,6,-7.537,166.164,1.928,0.07,58.902,0.4033,5.036,-0.967,24.727,-1.209,0.129,69602.658,0.003972504131793265,0.941,0.00945,0.01109,0.0005513256132177478,4.04839726265992e-05,0.0006939157770822881,2.9339999999999997
61,61,7,-7.436,174.262,1.965,0.07,58.132,0.423,4.97,-0.954,24.411,-1.209,0.129,72994.858,0.004369152859025316,0.941,0.00945,0.01109,0.0005520547209399625,4.401587537980083e-05,0.0007534579572671629,2.9339999999999993
62,62,7,-7.335,182.36,1.994,0.071,57.354,0.4426,4.903,-0.942,24.09,-1.141,0.09,76386.767,0.0044035268205725965,0.9055,0.008799999999999999,0.011016999999999999,0.0005492370690518802,4.732584107416328e-05,0.0007582652827340354,2.5839999999999996
63,63,8,-7.235,190.458,2.023,0.071,56.579,0.4623,4.837,-0.929,23.769,-1.141,0.09,79778.764,0.004803292094360697,0.9055,0.008799999999999999,0.011016999999999999,0.0005499211811222994,5.0996868723343395e-05,0.0008160668477063394,2.5839999999999996
64,64,8,-7.134,198.555,2.051,0.071,55.807,0.4819,4.771,-0.916,23.451,-1.141,0.09,83170.694,0.005220415177728016,0.9055,0.008799999999999999,0.011016999999999999,0.0005506690068205276,5.475897959513798e-05,0.0008750792480940673,2.5839999999999996
65,65,8,-7.033,206.654,2.075,0.071,55.033,0.5016,4.705,-0.904,23.135,-1.086,0.057,86562.946,0.005249794060806788,0.876,0.0085,0.010931,0.0005472332085972743,5.815341022463522e-05,0.0009032784910412353,2.294
66,66,9,-6.933,214.752,2.096,0.071,54.257,0.5212,4.639,-0.891,22.816,-1.086,0.057,89954.994,0.0056692911855413305,0.876,0.0085,0.010931,0.000547994155723461,6.201835489634268e-05,0.000961973793174787,2.2939999999999996
67,67,9,-6.833,222.85,2.118,0.071,53.483,0.5409,4.572,-0.878,22.496,-1.04,0.029,93347.072,0.005708015830294044,0.851,0.00835,0.010840499999999998,0.0005442019249375541,6.539244212409715e-05,0.001003353473618945,2.05
68,68,10,-6.733,230.948,2.139,0.071,52.711,0.5606,4.506,-0.865,22.18,-1.04,0.029,96739.162,0.00613039436431011,0.851,0.00835,0.0108405,0.0005449942992356582,6.934443476972721e-05,0.0010624441964609405,2.05
69,69,10,-6.632,239.046,2.155,0.071,51.936,0.5802,4.44,-0.853,21.863,-1.015,0.013,100131.459,0.006320155019485841,0.8314999999999999,0.0083,0.010785000000000001,0.0005430860741536447,7.297450495178436e-05,0.0011152714457716966,1.98
70,70,11,-6.532,247.144,2.169,0.071,51.161,0.5999,4.374,-0.84,21.543,-1.015,0.013,103523.612,0.006755624147890549,0.8314999999999999,0.0083,0.010785,0.000543867570588767,7.697298685286018e-05,0.0011746899896736276,1.98
71,71,11,-6.432,255.243,2.184,0.071,50.387,0.6195,4.308,-0.827,21.224,-0.986,-0.005,106915.771,0.006878049485507963,0.8165,0.0083,0.0107125,0.0005410041701174198,8.04591746049347e-05,0.0012343918699850613,1.818
72,72,12,-6.332,263.341,2.197,0.071,49.613,0.6392,4.242,-0.815,20.909,-0.986,-0.005,110308.078,0.007321437886382057,0.8165,0.0083,0.0107125,0.0005418600511567551,8.450554439035723e-05,0.0012944228254927357,1.818
73,73,12,-6.231,271.439,2.206,0.071,48.838,0.6588,4.175,-0.802,20.589,-0.967,-0.017,113700.275,0.007526138956489266,0.806,0.0083,0.010659000000000002,0.0005400056526191434,8.810954636488052e-05,0.0013542621846299229,1.7109999999999999
74,74,12,-6.131,279.538,2.214,0.071,48.063,0.6785,4.109,-0.789,20.27,-0.967,-0.017,117092.484,0.007981917584625435,0.806,0.0083,0.010659000000000002,0.0005408077618858862,9.213201437703891e-05,0.0014139880623436365,1.7109999999999999
75,75,13,-6.031,287.636,2.223,0.071,47.289,0.6981,4.043,-0.776,19.951,-0.955,-0.025,120484.681,0.008276946058110161,0.7995000000000001,0.00825,0.010624500000000002,0.0005398825927081445,9.584902332465857e-05,0.001464678530311326,1.645
76,76,13,-5.931,295.735,2.229,0.071,46.515,0.7178,3.977,-0.764,19.633,-0.955,-0.025,123877.044,0.008749598553736365,0.7995000000000001,0.00825,0.010624500000000002,0.00054075054070478,9.986973326630404e-05,0.001523669857774264,1.645
77,77,14,-5.831,303.833,2.232,0.071,45.741,0.7375,3.911,-0.751,19.312,-0.948,-0.029,127269.256,0.009129558488518664,0.796,0.0082,0.0106045,0.0005405384366231761,0.00010364950490623006,0.0015723691094766546,1.609
78,78,14,-5.73,311.931,2.235,0.071,44.966,0.7571,3.844,-0.738,18.992,-0.948,-0.029,130661.49,0.009622722774484673,0.796,0.0082,0.0106045,0.0005413410200454652,0.0001075938565013167,0.001629785275161115,1.609
79,79,15,-5.63,320.03,2.238,0.071,44.192,0.7768,3.778,-0.726,18.672,-0.946,-0.03,134053.712,0.01009509367877917,0.795,0.0082,0.0105985,0.0005418717897051634,0.00011145689265437218,0.001686647168443918,0.0
80,80,15,-5.529,328.128,2.237,0.071,43.417,0.7964,3.712,-0.713,18.351,-0.946,-0.03,137446.06,0.01061248908601757,0.795,0.008150000000000001,0.0105985,0.0005427058230995905,0.00011533083617586466,0.0017319628329486526,0.0
81,81,15,-5.429,336.227,2.234,0.071,42.642,0.8161,3.646,-0.7,18.028,-0.946,-0.03,140838.294,0.011142795819424024,0.795,0.008150000000000001,0.0105985,0.0005434686633345306,0.0001191307276913779,0.001786515941374684,0.0
82,82,16,-5.329,344.325,2.233,0.071,41.868,0.8357,3.579,-0.687,17.705,-0.944,-0.031,144230.533,0.011647585336294883,0.794,0.0081,0.010593,0.0005439636529503168,0.00012281472138610063,0.0018287972695085115,1.588
83,83,16,-5.229,352.423,2.232,0.071,41.094,0.8554,3.513,-0.675,17.383,-0.933,-0.038,147622.77,0.01195885707873528,0.7879999999999999,0.008150000000000001,0.010558,0.0005429466319227989,0.00012608024056718243,0.0018925505753365536,1.527
84,84,17,-5.13,360.522,2.231,0.071,40.32,0.8751,3.447,-0.662,17.06,-0.933,-0.038,151015.013,0.012514780086558723,0.7879999999999999,0.008150000000000001,0.010558,0.0005437332150839727,0.00012968107463545966,0.0019437855348155833,1.527
85,85,17,-5.031,368.62,2.233,0.071,39.546,0.8947,3.381,-0.649,16.738,-0.909,-0.054,154407.252,0.012492232257307103,0.7745,0.0083,0.010474500000000001,0.0005402186769565973,0.00013215080711164638,0.002030384630916397,1.391
86,86,18,-4.933,376.719,2.233,0.071,38.773,0.9144,3.315,-0.637,16.416,-0.871,-0.079,157799.555,0.01209010594852101,0.7535,0.0086,0.010329499999999998,0.0005335290153030724,0.00013369219201144733,0.002154995920222497,1.1799999999999997
87,87,18,-4.836,384.817,2.228,0.071,38.001,0.934,3.249,-0.624,16.095,-0.819,-0.113,161191.924,0.011239384649685923,0.724,0.0092,0.010093000000000001,0.0005221093804610342,0.00013384279237292385,0.002358420928472089,0.89
88,88,18,-3.886,392.77,2.224,0.072,36.183,0.9533,3.24,-0.594,14.807,-0.75,-0.159,164523.062,0.009813684164414685,0.6845000000000001,0.0102,0.009706,0.0005078575669318566,0.00012477357189721888,0.0025059987607163087,0.506
89,89,19,-1.546,400.465,2.216,0.072,32.512,0.972,2.911,-0.534,13.212,-0.554,-0.307,167746.343,0.004261219197393767,0.5665,0.01465,0.008476000000000001,0.0004453199771629003,0.00010148837144538453,0.0033387333107021216,-0.627
90,90,19,0.805,408.155,2.185,0.072,28.838,0.9907,2.582,-0.473,11.669,-0.419,-0.458,170967.745,-0.0006959340136679038,0.481,0.01935,0.008615500000000002,0.0004525560646510098,9.462651358867171e-05,0.00404595845898739,-1.446
91,91,0,-2.624,53.894,0.231,0.126,34.909,0.1308,8.228,-0.115,15.521,-1.221,0.206,22574.997,0.00044565397648137147,0.9620000000000001,0.018000000000000002,0.005328083333333334,0.0003024670179139816,1.4666506447223973e-06,8.728129032736705e-05,3.145
92,92,1,-3.249,61.697,0.599,0.122,40.977,0.1497,8.525,-0.359,17.986,-1.221,0.206,25843.53,0.0005840446540050984,0.9620000000000001,0.018000000000000002,0.005328083333333334,0.00029522480477121643,2.1739792232406124e-06,0.0001325485710750354,3.145
93,93,1,-3.856,69.514,0.861,0.119,47.272,0.1687,8.527,-0.652,20.523,-1.387,0.269,29117.812,0.0008603682968952633,1.056,0.017550000000000003,0.005999416666666667,0.0003257116061002419,3.4741673991531873e-06,0.0001871951650269829,4.131
94,94,2,-4.445,77.338,1.036,0.116,53.711,0.1877,8.189,-0.974,23.09,-1.387,0.269,32395.331,0.0010649562578627556,1.056,0.017550000000000003,0.005999416666666667,0.00031984281673454873,4.751084600803205e-06,0.0002606953490323285,4.131
95,95,2,-5.025,85.165,1.138,0.115,60.249,0.2067,7.483,-1.313,25.669,-1.428,0.29,35673.974,0.001340953247603201,1.08,0.01585,0.005903833333333334,0.00030954348766822103,6.198704422535197e-06,0.00031740116982364005,4.449
96,96,2,-5.308,92.973,1.17,0.118,65.917,0.2257,6.487,-1.591,28.577,-1.428,0.29,38944.542,0.0015980996843802794,1.08,0.01585,0.005903833333333333,0.00031050733845160546,8.249749253826122e-06,0.0004211125132346062,4.449
97,97,3,-4.793,100.94,1.256,0.124,65.14,0.245,6.524,-1.718,30.657,-1.401,0.297,42281.454,0.001860861127230856,1.08,0.01585,0.0050235,0.0002772764818525077,9.315408053466757e-06,0.0005324981645071055,4.449
98,98,3,-4.734,109.053,1.364,0.124,64.354,0.2647,6.445,-1.697,30.481,-1.373,0.283,45679.908,0.0021183157500272156,1.0635,0.01375,0.005104166666666667,0.0002821558273005705,1.1001004494165985e-05,0.0005361002579388388,4.221
99,99,4,-4.671,117.163,1.441,0.124,63.57,0.2844,6.367,-1.677,30.086,-1.373,0.283,49077.075,0.0024451055128228236,1.0635,0.01375,0.005104166666666667,0.0002824621186397,1.2547221432468058e-05,0.0006107873704526818,4.221
100,100,4,-4.607,125.27,1.502,0.124,62.794,0.3041,6.289,-1.656,29.693,-1.32,0.257,52473.051,0.0026619684115086538,1.0295,0.01205,0.005215416666666667,0.00028882066850970085,1.4474694884127944e-05,0.0006039044028730352,3.8360000000000003
101,101,5,-4.542,133.375,1.559,0.124,62.027,0.3237,6.212,-1.636,29.306,-1.32,0.257,55867.971,0.0030175609616091,1.0295,0.01205,0.005215416666666667,0.0002889654614568062,1.6202515068608622e-05,0.0006756527426926344,3.8360000000000003
102,102,5,-4.477,141.479,1.625,0.124,61.267,0.3434,6.136,-1.616,28.946,-1.32,0.257,59262.418,0.003395384753173038,1.0295,0.01205,0.005215416666666667,0.0002891669201625978,1.801990785091856e-05,0.0007509153864538567,3.8360000000000003
103,103,5,-4.412,149.585,1.683,0.125,60.487,0.3631,6.058,-1.595,28.57,-1.254,0.223,62658.207,0.0035561866939973472,0.9850000000000001,0.0106,0.0053025,0.00029433819529232636,2.0238181008376146e-05,0.000728837514532318,3.378
104,104,6,-4.353,157.691,1.75,0.125,59.71,0.3827,5.98,-1.575,28.203,-1.254,0.223,66053.423,0.003952021301398117,0.9850000000000001,0.0106,0.0053025,0.0002945885431592226,2.2220864340244496e-05,0.000799559818180993,3.378
105,105,6,-4.294,165.797,1.821,0.125,58.937,0.4024,5.903,-1.554,27.837,-1.19,0.19,69448.988,0.004080036570425493,0.941,0.00945,0.005340333333333332,0.0002969901931967964,2.444310096962265e-05,0.0007777607121521131,2.9339999999999993
106,106,7,-4.235,173.906,1.888,0.125,58.166,0.4221,5.826,-1.534,27.482,-1.19,0.19,72845.772,0.004488910234443192,0.941,0.00945,0.005340333333333333,0.0002973652191629701,2.6583425361268234e-05,0.000844797419049563,2.9339999999999997
107,107,7,-4.175,182.014,1.94,0.125,57.387,0.4418,5.748,-1.514,27.106,-1.139,0.163,76241.792,0.004638636931731504,0.9055,0.008799999999999999,0.00533575,0.00029750041283573816,2.8734422686824875e-05,0.0008499582142888474,2.5839999999999996
108,108,8,-4.118,190.121,1.992,0.125,56.612,0.4615,5.67,-1.493,26.737,-1.139,0.163,79637.868,0.005061082706560372,0.9055,0.008799999999999999,0.00533575,0.0002978231381874739,3.095838535182477e-05,0.0009147502533015622,2.5839999999999996
109,109,8,-4.059,198.229,2.042,0.125,55.838,0.4811,5.593,-1.473,26.373,-1.139,0.163,83033.806,0.005501917521248901,0.9055,0.008799999999999999,0.00533575,0.0002981687927798862,3.323429754005925e-05,0.000980859920402274,2.5839999999999996
110,110,8,-4.0,206.338,2.085,0.125,55.063,0.5008,5.515,-1.452,26.006,-1.097,0.14,86430.614,0.0056643929246699785,0.876,0.0085,0.0053075833333333326,0.00029697570599192594,3.536614279366516e-05,0.0010122451354802968,2.2939999999999996
111,111,9,-3.942,214.445,2.123,0.125,54.287,0.5205,5.437,-1.432,25.636,-1.097,0.14,89826.715,0.006118278120754002,0.876,0.0085,0.005307583333333333,0.00029732877113080247,3.7701786983722015e-05,0.001077814259759801,2.294
